Symbol,Year,Month,Open,High,Low,Close,Volume
ECOPETROL.CL,2021,9,2590.0,2761.0,2501.0,2734.0,198968553
ECOPETROL.CL,2021,10,2769.0,2990.0,2720.0,2847.0,179935761
ECOPETROL.CL,2021,11,2847.0,2956.0,2503.0,2600.0,156460414
ECOPETROL.CL,2021,12,2600.0,2735.0,2555.0,2690.0,91659585
ECOPETROL.CL,2022,1,2720.0,2990.0,2605.0,2905.0,127406733
ECOPETROL.CL,2022,2,2882.0,3263.0,2817.0,3263.0,216801058
ECOPETROL.CL,2022,3,3239.0,3610.0,3066.0,3538.0,41012672215
ECOPETROL.CL,2022,4,3530.0,3660.0,3210.0,3320.0,175746188
ECOPETROL.CL,2022,5,3252.0,3480.0,2740.0,3120.0,226200260
ECOPETROL.CL,2022,6,3298.0,3320.0,2005.0,2253.0,218869022
ECOPETROL.CL,2022,7,2350.0,2390.0,2060.0,2280.0,127512730
ECOPETROL.CL,2022,8,2250.0,2485.0,2163.0,2257.0,170118987
ECOPETROL.CL,2022,9,2210.0,2450.0,1940.0,2074.0,126655411
ECOPETROL.CL,2022,10,2180.0,2450.0,2100.0,2450.0,174457384
ECOPETROL.CL,2022,11,2555.0,2599.0,2252.0,2290.0,15868030265
ECOPETROL.CL,2022,12,2300.0,2424.0,2112.0,2420.0,310861208
ECOPETROL.CL,2023,1,2440.0,2854.0,2340.0,2669.0,188091040
ECOPETROL.CL,2023,2,2633.0,2753.0,2480.0,2698.0,131148153
ECOPETROL.CL,2023,3,2750.0,2775.0,2250.0,2450.0,130110742
ECOPETROL.CL,2023,4,2470.0,2609.0,2150.0,2288.0,103758418
ECOPETROL.CL,2023,5,2288.0,2288.0,1980.0,2036.0,84862464
ECOPETROL.CL,2023,6,2036.0,2205.0,2036.0,2140.0,55521496
ECOPETROL.CL,2023,7,2140.0,2282.0,2098.0,2206.0,61946384
ECOPETROL.CL,2023,8,2300.0,2460.0,2230.0,2357.0,74833344
ECOPETROL.CL,2023,9,2394.0,2540.0,2276.0,2365.0,124488970
ECOPETROL.CL,2023,10,2365.0,2649.0,2309.0,2423.0,92686374
ECOPETROL.CL,2023,11,2452.0,2590.0,2320.0,2520.0,84932432
ECOPETROL.CL,2023,12,2530.0,2595.0,2300.0,2340.0,71714662
ECOPETROL.CL,2024,1,2340.0,2450.0,2250.0,2335.0,62166582
ECOPETROL.CL,2024,2,2370.0,2400.0,2260.0,2290.0,63126553
ECOPETROL.CL,2024,3,2280.0,2290.0,1995.0,2075.0,144262083
ECOPETROL.CL,2024,4,2100.0,2350.0,2100.0,2280.0,157481873
ECOPETROL.CL,2024,5,2280.0,2405.0,2120.0,2360.0,115909874
ECOPETROL.CL,2024,6,2360.0,2510.0,2280.0,2320.0,111722312
ENKA.CL,2020,1,9.90999984741211,11.300000190734863,9.899999618530273,11.100000381469727,30094631
ENKA.CL,2020,2,10.800000190734863,11.199999809265137,10.800000190734863,10.899999618530273,20875366
ENKA.CL,2020,3,10.899999618530273,10.899999618530273,10.0,10.0,4240000
ENKA.CL,2020,4,10.0,10.0,8.100000381469727,8.100000381469727,11035983
ENKA.CL,2020,5,8.100000381469727,8.460000038146973,8.0,8.0,16308737
ENKA.CL,2020,6,8.0,8.350000381469727,7.5,7.599999904632568,37098211
ENKA.CL,2020,7,7.599999904632568,8.25,7.599999904632568,8.0,37121809
ENKA.CL,2020,8,8.0,8.0,7.5,7.5,109226514
ENKA.CL,2020,9,7.5,7.800000190734863,7.300000190734863,7.300000190734863,51503080
ENKA.CL,2020,10,7.300000190734863,7.300000190734863,7.300000190734863,7.300000190734863,3181485
